text,label
Your account has been suspended click here immediately,phishing
Verify your bank account now to avoid closure,phishing
Congratulations you won a free iPhone click now,phishing
Urgent login required to secure your account,phishing
Update your password immediately by clicking this link,phishing
Meeting scheduled for tomorrow at 10 AM,safe
Please find the attached project report,safe
Thank you for your application,safe
Let's have a team meeting this afternoon,safe
Your order has been successfully delivered,safe